iter	Passed	Remaining
645	1830	1002
646	1832	999
647	1834	996
648	1835	992
649	1838	989
650	1840	986
651	1841	983
652	1843	979
653	1845	976
654	1847	973
655	1849	969
656	1852	967
657	1854	963
658	1858	961
659	1860	958
660	1862	955
661	1864	952
662	1866	948
663	1868	945
664	1871	942
665	1873	939
666	1877	937
667	1879	934
668	1881	931
669	1883	927
670	1885	924
671	1887	921
672	1889	918
673	1891	914
674	1894	912
675	1896	908
676	1898	905
677	1900	902
678	1903	899
679	1905	896
680	1907	893
681	1909	890
682	1911	887
683	1915	885
684	1918	882
685	1920	878
686	1922	875
687	1924	872
688	1925	869
689	1927	866
690	1929	862
691	1931	859
692	1934	856
693	1935	853
694	1938	850
695	1941	847
696	1943	844
697	1945	841
698	1946	838
699	1948	835
700	1950	832
701	1953	829
702	1955	826
703	1957	823
704	1959	820
705	1962	817
706	1964	814
707	1966	811
708	1969	808
709	1972	805
710	1977	803
711	1980	801
712	1982	797
713	1984	794
714	1987	792
715	1990	789
716	1992	786
717	1994	783
718	1996	780
719	1998	777
720	2001	774
721	2003	771
722	2006	768
723	2008	765
724	2010	762
725	2014	760
726	2016	757
727	2020	754
728	2023	752
729	2026	749
730	2028	746
731	2030	743
732	2033	740
733	2035	737
734	2037	734
735	2040	731
736	2042	728
737	2044	725
738	2047	722
739	2049	720
740	2053	717
741	2055	714
742	2057	711
743	2060	708
744	2063	706
745	2066	703
746	2069	700
747	2071	697
748	2077	696
749	2081	693
750	2083	690
751	2085	687
752	2088	684
753	2090	682
754	2093	679
755	2096	676
756	2098	673
757	2101	670
758	2102	667
759	2105	664
760	2107	661
761	2108	658
762	2111	655
763	2114	653
764	2117	650
765	2119	647
766	2122	644
767	2126	642
768	2129	639
769	2131	636
770	2133	633
771	2135	630
772	2138	627
773	2140	625
774	2143	622
775	2145	619
776	2147	616
777	2149	613
778	2152	610
779	2154	607
780	2157	604
781	2159	602
782	2162	599
783	2166	596
784	2169	594
785	2171	591
786	2174	588
787	2177	585
788	2179	582
789	2182	580
790	2185	577
791	2188	574
792	2190	571
793	2192	568
794	2197	566
795	2199	563
796	2201	560
797	2204	557
798	2206	555
799	2208	552
800	2212	549
801	2215	547
802	2218	544
803	2220	541
804	2222	538
805	2224	535
806	2226	532
807	2228	529
808	2231	526
809	2233	523
810	2235	521
811	2239	518
812	2243	515
813	2245	513
814	2248	510
815	2251	507
816	2254	504
817	2256	502
818	2258	499
819	2261	496
820	2263	493
821	2266	490
822	2268	487
823	2270	484
824	2272	482
825	2275	479
826	2278	476
827	2281	473
828	2283	471
829	2286	468
830	2288	465
831	2290	462
832	2295	460
833	2297	457
834	2299	454
835	2301	451
836	2304	448
837	2307	446
838	2309	443
839	2312	440
840	2314	437
841	2317	434
842	2321	432
843	2323	429
844	2325	426
845	2328	423
846	2330	421
847	2333	418
848	2336	415
849	2338	412
850	2340	409
851	2342	406
852	2343	403
853	2345	400
854	2346	397
855	2349	395
856	2351	392
857	2352	389
858	2354	386
859	2355	383
860	2357	380
861	2358	377
862	2360	374
863	2362	371
864	2363	368
865	2365	366
866	2367	363
867	2369	360
868	2371	357
869	2373	354
870	2375	351
871	2378	349
872	2380	346
873	2381	343
874	2383	340
875	2385	337
876	2386	334
877	2388	331
878	2390	329
879	2392	326
880	2393	323
881	2395	320
882	2397	317
883	2399	314
884	2401	311
885	2403	309
886	2405	306
887	2407	303
888	2410	300
889	2411	298
890	2412	295
891	2414	292
892	2416	289
893	2418	286
894	2420	283
895	2422	281
896	2423	278
897	2424	275
898	2426	272
899	2428	269
900	2430	267
901	2432	264
902	2434	261
903	2436	258
904	2438	256
905	2440	253
906	2442	250
907	2444	247
908	2447	245
909	2448	242
910	2449	239
911	2451	236
912	2452	233
913	2454	230
914	2455	228
915	2456	225
916	2458	222
917	2460	219
918	2461	216
919	2464	214
920	2466	211
921	2468	208
922	2470	206
923	2471	203
924	2473	200
925	2474	197
926	2475	194
927	2477	192
928	2478	189
929	2480	186
930	2482	184
931	2484	181
932	2487	178
933	2489	175
934	2490	173
935	2493	170
936	2494	167
937	2495	164
938	2497	162
939	2498	159
940	2499	156
941	2501	154
942	2503	151
943	2504	148
944	2505	145
945	2506	143
946	2507	140
947	2510	137
948	2512	135
949	2513	132
950	2515	129
951	2516	126
952	2517	124
953	2519	121
954	2520	118
955	2522	116
956	2523	113
957	2524	110
958	2525	107
959	2527	105
960	2528	102
961	2529	99
962	2530	97
963	2532	94
964	2533	91
965	2534	89
966	2536	86
967	2537	83
968	2538	81
969	2539	78
970	2540	75
971	2541	73
972	2541	70
973	2542	67
974	2543	65
975	2544	62
976	2546	59
977	2547	57
978	2547	54
979	2548	52
980	2549	49
981	2550	46
982	2551	44
983	2553	41
984	2553	38
985	2554	36
986	2555	33
987	2557	31
988	2558	28
989	2559	25
990	2560	23
991	2560	20
992	2561	18
993	2562	15
994	2564	12
995	2564	10
996	2565	7
997	2566	5
998	2567	2
999	2567	0
